agent,sample_idx,wall_time,x,y
husky_local,0,1777042094.287091519,-273.691000,-103.717000
husky_local,1,1777042096.432288607,-273.716000,-103.717000
husky_local,2,1777042098.692443805,-273.785000,-103.714000
husky_local,3,1777042100.447200823,-273.838000,-103.704000
husky_local,4,1777042102.707787291,-274.242000,-103.483000
husky_local,5,1777042104.729868985,-274.494000,-103.318000
husky_local,6,1777042107.007462882,-275.358000,-102.511000
husky_local,7,1777042109.323898582,-275.948000,-101.831000
husky_local,8,1777042111.388033817,-276.520000,-101.146000
husky_local,9,1777042113.701189452,-276.963000,-100.616000
husky_local,10,1777042115.915950518,-277.482000,-99.995000
husky_local,11,1777042118.092411838,-277.863000,-99.539000
husky_local,12,1777042120.188301745,-278.619000,-98.636000
husky_local,13,1777042122.297645649,-278.765000,-98.449000
husky_local,14,1777042124.287343015,-278.818000,-98.383000
husky_local,15,1777042126.609561881,-279.158000,-98.144000
husky_local,16,1777042128.690778868,-279.812000,-97.545000
husky_local,17,1777042130.787052755,-280.208000,-97.138000
husky_local,18,1777042133.019589356,-280.430000,-96.862000
husky_local,19,1777042134.987123952,-280.238000,-97.009000
husky_local,20,1777042137.212998446,-280.188000,-97.068000
husky_local,21,1777042139.436863169,-280.225000,-96.984000
husky_local,22,1777042141.564872060,-280.261000,-96.946000
husky_local,23,1777042143.487031984,-280.377000,-96.866000
husky_local,24,1777042145.647359595,-280.433000,-96.823000
husky_local,25,1777042147.834341973,-280.869000,-96.342000
husky_local,26,1777042149.889799254,-281.405000,-95.808000
husky_local,27,1777042151.946508856,-281.724000,-95.376000
husky_local,28,1777042154.273478336,-282.097000,-94.767000
husky_local,29,1777042156.285553754,-282.140000,-94.793000
husky_local,30,1777042158.186904183,-282.018000,-94.930000
husky_local,31,1777042160.240910043,-282.177000,-94.538000
husky_local,32,1777042162.289546454,-282.444000,-93.936000
husky_local,33,1777042164.387087483,-282.807000,-93.209000
husky_local,34,1777042166.396874524,-283.130000,-92.569000
husky_local,35,1777042168.427355411,-283.391000,-92.053000
husky_local,36,1777042170.589181685,-283.762000,-91.319000
husky_local,37,1777042172.680758229,-284.033000,-90.784000
husky_local,38,1777042174.939940118,-284.387000,-90.085000
husky_local,39,1777042176.991327249,-284.752000,-89.362000
husky_local,40,1777042179.105003564,-285.033000,-88.807000
husky_local,41,1777042181.211516820,-285.387000,-88.124000
husky_local,42,1777042183.421630551,-285.765000,-87.398000
husky_local,43,1777042185.487590010,-286.138000,-86.681000
husky_local,44,1777042187.581344028,-286.383000,-86.209000
husky_local,45,1777042189.848660015,-286.759000,-85.486000
husky_local,46,1777042192.066469367,-287.058000,-84.913000
husky_local,47,1777042194.297686176,-287.518000,-84.027000
husky_local,48,1777042196.547808791,-287.887000,-83.325000
husky_local,49,1777042198.830292928,-288.283000,-82.588000
husky_local,50,1777042200.907318351,-288.649000,-81.906000
husky_local,51,1777042203.021715136,-289.028000,-81.201000
husky_local,52,1777042205.365818460,-289.338000,-80.622000
husky_local,53,1777042207.758570981,-289.796000,-79.769000
husky_local,54,1777042209.789721004,-290.177000,-79.059000
husky_local,55,1777042212.129030094,-290.542000,-78.380000
husky_local,56,1777042214.153051708,-290.870000,-77.773000
husky_local,57,1777042216.375443507,-291.147000,-77.047000
husky_local,58,1777042218.286915987,-291.344000,-76.660000
husky_local,59,1777042220.338739573,-291.385000,-76.566000
husky_local,60,1777042222.487855586,-291.411000,-76.425000
husky_local,61,1777042224.488462457,-291.547000,-75.824000
husky_local,62,1777042226.504712588,-291.716000,-75.349000
husky_local,63,1777042228.617294859,-292.091000,-74.530000
husky_local,64,1777042230.583586758,-292.386000,-73.989000
husky_local,65,1777042232.836450459,-292.772000,-73.317000
husky_local,66,1777042234.967176208,-293.144000,-72.668000
husky_local,67,1777042237.087986092,-293.534000,-71.994000
husky_local,68,1777042239.456047839,-293.968000,-71.268000
husky_local,69,1777042241.598906925,-294.399000,-70.549000
husky_local,70,1777042243.688832750,-294.809000,-69.865000
husky_local,71,1777042245.937857252,-295.115000,-69.354000
husky_local,72,1777042248.135036650,-295.479000,-68.746000
husky_local,73,1777042250.233214727,-295.931000,-67.992000
husky_local,74,1777042252.250161719,-296.365000,-67.270000
husky_local,75,1777042254.531934531,-296.764000,-66.616000
husky_local,76,1777042256.649885503,-297.194000,-65.910000
husky_local,77,1777042259.015991026,-297.515000,-65.377000
husky_local,78,1777042261.086840375,-298.065000,-64.472000
husky_local,79,1777042263.088769275,-298.437000,-63.873000
husky_local,80,1777042265.380340354,-298.758000,-63.361000
husky_local,81,1777042267.576020600,-299.101000,-62.819000
husky_local,82,1777042269.658721290,-299.133000,-62.771000
husky_local,83,1777042271.858902530,-299.315000,-62.329000
husky_local,84,1777042273.928599981,-299.640000,-61.732000
husky_local,85,1777042276.149511843,-300.045000,-61.286000
husky_local,86,1777042278.361267370,-300.029000,-61.233000
husky_local,87,1777042280.428763172,-300.510000,-61.015000
husky_local,88,1777042282.711314630,-300.602000,-60.965000
husky_local,89,1777042284.597902769,-300.703000,-60.834000
husky_local,90,1777042286.586311565,-301.208000,-60.210000
husky_local,91,1777042288.833509118,-301.618000,-59.888000
husky_local,92,1777042290.887216738,-301.963000,-59.635000
husky_local,93,1777042293.217080438,-302.188000,-59.548000
husky_local,94,1777042295.221974750,-302.765000,-59.269000
husky_local,95,1777042297.641567656,-303.378000,-58.813000
husky_local,96,1777042299.931865101,-303.933000,-58.282000
husky_local,97,1777042301.934293686,-304.522000,-57.649000
husky_local,98,1777042304.247409338,-304.968000,-57.147000
husky_local,99,1777042306.284028131,-305.587000,-56.452000
husky_local,100,1777042308.612718650,-306.095000,-55.881000
husky_local,101,1777042310.726736228,-306.622000,-55.289000
husky_local,102,1777042313.152525494,-307.142000,-54.704000
husky_local,103,1777042315.326308686,-307.699000,-54.077000
husky_local,104,1777042317.387327147,-308.229000,-53.481000
husky_local,105,1777042319.495075554,-308.692000,-52.960000
husky_local,106,1777042321.653511112,-309.042000,-52.567000
husky_local,107,1777042323.687931340,-309.686000,-51.835000
husky_local,108,1777042325.707005050,-310.077000,-51.385000
husky_local,109,1777042327.836087709,-310.606000,-50.774000
husky_local,110,1777042329.939808241,-311.127000,-50.164000
husky_local,111,1777042332.003132599,-311.450000,-49.782000
husky_local,112,1777042334.088267619,-312.079000,-49.021000
husky_local,113,1777042336.354874397,-312.479000,-48.533000
husky_local,114,1777042338.301287061,-312.516000,-48.488000
husky_local,115,1777042340.290831632,-312.535000,-48.426000
husky_local,116,1777042342.549090087,-312.562000,-48.295000
husky_local,117,1777042344.594197324,-312.707000,-47.678000
husky_local,118,1777042346.817257270,-312.750000,-47.538000
husky_local,119,1777042349.017026802,-312.807000,-47.360000
